farm_id,farm_name,region,county,crop_type,acreage,archetype,archetype_id,ffmi_score,tier,tier_classification,pillar_1_score,pillar_2_score,pillar_3_score,pillar_4_score,pillar_5_score,pillar_6_score,pillar_7_score,pillar_8_score
92b0517c-b047-5780-9959-ff1b7b61f471,Kilifi Coconut Farm #0001,Coastal Lowlands,Kilifi,Coconut,6.62,Transitioning Agribusiness,1,13.32,3,Structured Farm,0.56,0.44,0.6,0.72,0.52,0.6,0.64,0.36
41c99529-6a7c-5946-83d6-9a68b7a2e328,Murang'a Macadamia Farm #0002,Central Highlands,Murang'a,Macadamia,2.17,Informal Smallholder,0,4.92,5,Future Ready Farm,0.16,0.16,0.24,0.44,0.16,0.2,0.24,0.04
6fd01488-9fa8-54cf-90f6-a1940173f1ad,Tharaka Nithi Green Grams Farm #0003,Eastern Semi-Arid,Tharaka Nithi,Green Grams,27.16,Commercial Market Leader,2,20.04,5,Future Ready Farm,0.76,0.84,0.88,0.76,0.8,0.96,0.88,0.8
469f0080-90a5-518a-8922-d9ba63976053,Murang'a Coffee Farm #0004,Central Highlands,Murang'a,Coffee,2.99,Transitioning Agribusiness,1,12.36,3,Structured Farm,0.52,0.56,0.6,0.6,0.36,0.48,0.6,0.4
3f3edc20-bcb1-5687-8d69-a7cffeebb82e,Uasin Gishu Potatoes Farm #0005,Rift Valley,Uasin Gishu,Potatoes,3.89,Informal Smallholder,0,6.0,2,Emerging Agribusiness,0.04,0.4,0.12,0.6,0.2,0.28,0.16,0.2
ead843ac-7cb8-523b-8d81-e9c3eddd4c7e,Lamu Coconut Farm #0006,Coastal Lowlands,Lamu,Coconut,27.33,Commercial Market Leader,2,19.56,4,Investment Ready Farm,0.68,0.76,0.88,0.84,0.88,0.84,0.84,0.8
7777540e-befc-5e18-83a6-83491da0993b,Kiambu Horticulture Farm #0007,Central Highlands,Kiambu,Horticulture,3.72,Transitioning Agribusiness,1,11.88,3,Structured Farm,0.32,0.36,0.48,0.8,0.52,0.52,0.6,0.36
280d3820-6aff-5deb-9de8-def150c2c841,Taita Taveta Fish Farming Farm #0008,Coastal Lowlands,Taita Taveta,Fish Farming,9.03,Transitioning Agribusiness,1,12.96,3,Structured Farm,0.44,0.52,0.6,0.72,0.48,0.68,0.52,0.36
9b41820c-6c6b-5940-93fc-944e5b46c00d,Kakamega Horticulture Farm #0009,Western Kenya,Kakamega,Horticulture,1.19,Informal Smallholder,0,5.52,2,Emerging Agribusiness,0.24,0.12,0.32,0.44,0.16,0.28,0.16,0.12
f75f7adb-8a86-55ca-8406-53ef006009bf,Embu Coffee Farm #0010,Central Highlands,Embu,Coffee,2.49,Informal Smallholder,0,5.04,2,Emerging Agribusiness,0.2,0.16,0.2,0.56,0.04,0.32,0.16,0.04
5e7613b7-6d52-5ee5-b693-89b41183d41d,Nandi Maize Farm #0011,Rift Valley,Nandi,Maize,2.71,Informal Smallholder,0,6.24,2,Emerging Agribusiness,0.28,0.44,0.28,0.4,0.16,0.24,0.2,0.08
4c7de370-d11a-5439-b7f3-dc6cfad694db,Kakamega Sugarcane Farm #0012,Western Kenya,Kakamega,Sugarcane,33.31,Commercial Market Leader,2,19.68,4,Investment Ready Farm,0.88,0.8,0.96,0.72,0.76,0.84,0.92,0.68
acfc4358-76b6-590c-a8ad-3204fd52c5ad,Kiambu Coffee Farm #0013,Central Highlands,Kiambu,Coffee,7.22,Transitioning Agribusiness,1,12.96,3,Structured Farm,0.64,0.4,0.76,0.72,0.32,0.76,0.48,0.24
1724006f-e9ac-55d5-826d-1f2616f0d031,Bomet Horticulture Farm #0014,Rift Valley,Bomet,Horticulture,6.01,Transitioning Agribusiness,1,12.12,3,Structured Farm,0.6,0.36,0.52,0.8,0.48,0.52,0.52,0.24
326d6ba7-1e0a-5974-911e-8a7229a8f86d,Makueni Livestock Farm #0015,Eastern Semi-Arid,Makueni,Livestock,0.99,Informal Smallholder,0,4.8,5,Future Ready Farm,0.0,0.2,0.24,0.44,0.2,0.24,0.16,0.12
aab5cbaa-f6d6-54f8-9268-c472c9b99c62,Machakos Mangoes Farm #0016,Eastern Semi-Arid,Machakos,Mangoes,2.76,Informal Smallholder,0,5.52,2,Emerging Agribusiness,0.12,0.08,0.24,0.6,0.16,0.32,0.2,0.12
77127a86-05a3-5fe7-9a2a-db432dcf98c9,Kwale Cashew Farm #0017,Coastal Lowlands,Kwale,Cashew,11.91,Transitioning Agribusiness,1,12.36,3,Structured Farm,0.32,0.48,0.6,0.76,0.44,0.72,0.44,0.36
8067886e-21c9-519c-93f0-ebad992b555d,Vihiga Poultry Farm #0018,Western Kenya,Vihiga,Poultry,0.69,Informal Smallholder,0,5.64,2,Emerging Agribusiness,0.24,0.24,0.12,0.64,0.04,0.2,0.24,0.16
30d6a9a5-ce22-5952-832a-4bdd601c73a9,Kitui Green Grams Farm #0019,Eastern Semi-Arid,Kitui,Green Grams,6.5,Transitioning Agribusiness,1,11.88,3,Structured Farm,0.4,0.36,0.56,0.68,0.44,0.72,0.52,0.28
e66ee568-72c3-5839-a7ec-aeafae9c57ca,Machakos Cowpeas Farm #0020,Eastern Semi-Arid,Machakos,Cowpeas,5.35,Transitioning Agribusiness,1,10.8,3,Structured Farm,0.36,0.36,0.64,0.52,0.52,0.44,0.36,0.4
423d0e08-8aac-5c74-82e8-c741f4f0922d,Tharaka Nithi Sorghum Farm #0021,Eastern Semi-Arid,Tharaka Nithi,Sorghum,4.3,Transitioning Agribusiness,1,11.04,3,Structured Farm,0.44,0.44,0.44,0.76,0.4,0.44,0.48,0.28
dc90a3bb-8741-5b47-ac53-2afdebd197a6,Kericho Wheat Farm #0022,Rift Valley,Kericho,Wheat,1.21,Informal Smallholder,0,6.36,2,Emerging Agribusiness,0.2,0.16,0.32,0.56,0.16,0.32,0.2,0.2
d91a72d9-cde1-52ae-8f09-e5b32c1ebd97,Lamu Cassava Farm #0023,Coastal Lowlands,Lamu,Cassava,25.33,Commercial Market Leader,2,20.28,5,Future Ready Farm,0.88,0.76,0.88,0.72,0.84,0.88,0.92,0.88
d1634aa9-9231-5c14-a5f5-79d7f24cfb1d,Bungoma Cassava Farm #0024,Western Kenya,Bungoma,Cassava,24.4,Commercial Market Leader,2,19.68,4,Investment Ready Farm,0.84,0.76,0.84,0.76,0.8,0.88,0.92,0.76
6909e58e-4938-50c6-8b44-17a98562bf57,Busia Maize Farm #0025,Western Kenya,Busia,Maize,2.33,Transitioning Agribusiness,1,11.88,3,Structured Farm,0.4,0.48,0.32,0.68,0.48,0.52,0.68,0.4
ffe9520d-7a36-5089-bbb7-408052b8af2c,Makueni Green Grams Farm #0026,Eastern Semi-Arid,Makueni,Green Grams,1.09,Informal Smallholder,0,6.0,2,Emerging Agribusiness,0.28,0.16,0.4,0.64,0.12,0.2,0.12,0.08
88295350-85bc-5f69-87a8-a0e6325b7b98,Taita Taveta Cassava Farm #0027,Coastal Lowlands,Taita Taveta,Cassava,0.5,Informal Smallholder,0,6.36,2,Emerging Agribusiness,0.16,0.28,0.24,0.64,0.08,0.4,0.28,0.04
ba5faa2b-8e0a-5a63-8570-f93535185615,Lamu Cassava Farm #0028,Coastal Lowlands,Lamu,Cassava,2.77,Informal Smallholder,0,4.92,5,Future Ready Farm,0.08,0.2,0.2,0.4,0.12,0.24,0.24,0.16
1174fed8-008e-5ff6-97a4-e595225fb3eb,Taita Taveta Cassava Farm #0029,Coastal Lowlands,Taita Taveta,Cassava,1.09,Informal Smallholder,0,4.8,5,Future Ready Farm,0.12,0.12,0.08,0.56,0.16,0.28,0.2,0.08
04924650-c80a-5d70-91a8-de2c96642d63,Kwale Cassava Farm #0030,Coastal Lowlands,Kwale,Cassava,3.39,Transitioning Agribusiness,1,11.88,3,Structured Farm,0.44,0.44,0.44,0.68,0.56,0.52,0.48,0.4
1b4dc038-79d3-5732-90e3-a5e965a7e96b,Lamu Vegetables Farm #0031,Coastal Lowlands,Lamu,Vegetables,7.46,Transitioning Agribusiness,1,12.12,3,Structured Farm,0.52,0.44,0.6,0.64,0.36,0.56,0.64,0.28
057bf5ec-f5fd-5332-9b9c-b8499d0b78d1,Kilifi Cassava Farm #0032,Coastal Lowlands,Kilifi,Cassava,5.0,Commercial Market Leader,2,20.16,5,Future Ready Farm,0.92,0.88,0.84,0.76,0.76,0.84,0.88,0.84
0cbb86d7-ddd5-53dd-aaf6-75ca23909918,Taita Taveta Cassava Farm #0033,Coastal Lowlands,Taita Taveta,Cassava,3.99,Informal Smallholder,0,5.04,2,Emerging Agribusiness,0.12,0.2,0.28,0.52,0.12,0.16,0.12,0.16
d8c1926a-4560-5935-b3d5-29d32afe8775,Kiambu Tea Farm #0034,Central Highlands,Kiambu,Tea,3.14,Informal Smallholder,0,5.76,2,Emerging Agribusiness,0.04,0.32,0.16,0.48,0.24,0.32,0.32,0.04
140638c9-c4e5-5282-9198-97f33094fcf9,Kiambu Dairy Farm #0035,Central Highlands,Kiambu,Dairy,2.56,Informal Smallholder,0,6.48,2,Emerging Agribusiness,0.28,0.28,0.28,0.64,0.12,0.36,0.16,0.04
95481682-ebb4-52ff-93ef-d2b4c6643802,Uasin Gishu Maize Farm #0036,Rift Valley,Uasin Gishu,Maize,3.64,Informal Smallholder,0,5.76,2,Emerging Agribusiness,0.08,0.28,0.16,0.64,0.16,0.28,0.08,0.24
db7e8a8c-ce1f-5060-bbf1-14a20acd197c,Kitui Mangoes Farm #0037,Eastern Semi-Arid,Kitui,Mangoes,2.83,Informal Smallholder,0,5.76,2,Emerging Agribusiness,0.2,0.28,0.24,0.52,0.12,0.36,0.2,0.0
a36e1072-1d22-55bd-8973-ca86ded209bc,Makueni Green Grams Farm #0038,Eastern Semi-Arid,Makueni,Green Grams,1.92,Informal Smallholder,0,5.64,2,Emerging Agribusiness,0.2,0.2,0.2,0.44,0.08,0.52,0.2,0.04
8f385f0c-9eda-58d5-be04-5719da33bd82,Siaya Dairy Farm #0039,Western Kenya,Siaya,Dairy,2.45,Informal Smallholder,0,5.4,2,Emerging Agribusiness,0.04,0.28,0.28,0.52,0.16,0.24,0.16,0.12
ec1f3f47-7081-5467-b843-89e2f94e64f0,Lamu Coconut Farm #0040,Coastal Lowlands,Lamu,Coconut,8.89,Transitioning Agribusiness,1,11.28,3,Structured Farm,0.32,0.4,0.56,0.68,0.6,0.52,0.28,0.4
3de37f74-16be-5890-ab7b-8239dee8ab42,Kiambu Horticulture Farm #0041,Central Highlands,Kiambu,Horticulture,1.55,Informal Smallholder,0,5.28,2,Emerging Agribusiness,0.24,0.24,0.28,0.48,0.08,0.12,0.08,0.24
3b3268b5-07d6-583c-af5f-fd44514b690d,Makueni Mangoes Farm #0042,Eastern Semi-Arid,Makueni,Mangoes,6.15,Transitioning Agribusiness,1,11.64,3,Structured Farm,0.4,0.44,0.56,0.52,0.52,0.32,0.64,0.48
70089432-a0a2-52b2-a353-399fc5e66a84,Busia Cassava Farm #0043,Western Kenya,Busia,Cassava,5.05,Transitioning Agribusiness,1,11.76,3,Structured Farm,0.4,0.6,0.48,0.6,0.4,0.64,0.48,0.32
3f17eed4-2c28-5416-af5e-6a58f1b01f24,Taita Taveta Cassava Farm #0044,Coastal Lowlands,Taita Taveta,Cassava,1.47,Informal Smallholder,0,5.76,2,Emerging Agribusiness,0.16,0.24,0.2,0.52,0.12,0.28,0.28,0.12
9c7778ce-1a93-5c6a-890a-9b76e964e597,Murang'a Avocado Farm #0045,Central Highlands,Murang'a,Avocado,3.44,Transitioning Agribusiness,1,11.76,3,Structured Farm,0.32,0.44,0.72,0.76,0.6,0.4,0.4,0.28
a364094b-0dc7-559f-a8a3-393be260ae34,Kisumu Sugarcane Farm #0046,Western Kenya,Kisumu,Sugarcane,8.69,Transitioning Agribusiness,1,11.4,3,Structured Farm,0.48,0.48,0.64,0.68,0.28,0.56,0.4,0.28
7fb1de75-82c6-504d-a97c-8b76c169d754,Kakamega Maize Farm #0047,Western Kenya,Kakamega,Maize,3.71,Informal Smallholder,0,6.48,2,Emerging Agribusiness,0.2,0.16,0.44,0.6,0.2,0.2,0.28,0.08
