farm_id,farm_name,region,crop_type,acreage,log_acreage,ffmi_score,tier,tier_classification,pillar_1_smart_farming,pillar_2_renewable_energy,pillar_3_food_safety,pillar_4_climate_resilience,pillar_5_business_performance,pillar_6_human_capital,pillar_7_market_access,pillar_8_investment_readiness,priority_gap_depth,pillar_variance,climate_shock_index,market_volatility_index,historical_delta_ffmi,previous_ffmi_score,vulnerability_score,risk_label,risk_category
92b0517c-b047-5780-9959-ff1b7b61f471,Kilifi Coconut Farm #0001,Coastal Lowlands,Coconut,6.62,2.0308,13.32,3,Structured Farm,0.56,0.44,0.6,0.72,0.52,0.6,0.64,0.36,0.36,0.1067,0.4324,0.3586,2.0296,11.2904,0.4484,1,Medium Risk
41c99529-6a7c-5946-83d6-9a68b7a2e328,Murang'a Macadamia Farm #0002,Central Highlands,Macadamia,2.17,1.1537,4.92,5,Future Ready Farm,0.16,0.16,0.24,0.44,0.16,0.2,0.24,0.04,0.04,0.1067,0.3193,0.377,1.8836,3.0364,0.6295,2,High Risk
6fd01488-9fa8-54cf-90f6-a1940173f1ad,Tharaka Nithi Green Grams Farm #0003,Eastern Semi-Arid,Green Grams,27.16,3.3379,20.04,5,Future Ready Farm,0.76,0.84,0.88,0.76,0.8,0.96,0.88,0.8,0.76,0.0646,0.5876,0.4142,4.4019,15.6381,0.2367,0,Low Risk
469f0080-90a5-518a-8922-d9ba63976053,Murang'a Coffee Farm #0004,Central Highlands,Coffee,2.99,1.3838,12.36,3,Structured Farm,0.52,0.56,0.6,0.6,0.36,0.48,0.6,0.4,0.36,0.0882,0.1231,0.3627,2.3594,10.0006,0.5088,1,Medium Risk
3f3edc20-bcb1-5687-8d69-a7cffeebb82e,Uasin Gishu Potatoes Farm #0005,Rift Valley,Potatoes,3.89,1.5872,6.0,2,Emerging Agribusiness,0.04,0.4,0.12,0.6,0.2,0.28,0.16,0.2,0.04,0.1658,0.2206,0.477,1.4922,4.5078,0.6059,2,High Risk
ead843ac-7cb8-523b-8d81-e9c3eddd4c7e,Lamu Coconut Farm #0006,Coastal Lowlands,Coconut,27.33,3.3439,19.56,4,Investment Ready Farm,0.68,0.76,0.88,0.84,0.88,0.84,0.84,0.8,0.68,0.063,0.3308,0.3344,2.8955,16.6645,0.207,0,Low Risk
7777540e-befc-5e18-83a6-83491da0993b,Kiambu Horticulture Farm #0007,Central Highlands,Horticulture,3.72,1.5518,11.88,3,Structured Farm,0.32,0.36,0.48,0.8,0.52,0.52,0.6,0.36,0.32,0.1469,0.2452,0.2039,2.1267,9.7533,0.4043,1,Medium Risk
280d3820-6aff-5deb-9de8-def150c2c841,Taita Taveta Fish Farming Farm #0008,Coastal Lowlands,Fish Farming,9.03,2.3056,12.96,3,Structured Farm,0.44,0.52,0.6,0.72,0.48,0.68,0.52,0.36,0.36,0.1131,0.4987,0.4414,3.1921,9.7679,0.4603,1,Medium Risk
9b41820c-6c6b-5940-93fc-944e5b46c00d,Kakamega Horticulture Farm #0009,Western Kenya,Horticulture,1.19,0.7839,5.52,2,Emerging Agribusiness,0.24,0.12,0.32,0.44,0.16,0.28,0.16,0.12,0.12,0.1054,0.3567,0.3808,0.9912,4.5288,0.5646,2,High Risk
f75f7adb-8a86-55ca-8406-53ef006009bf,Embu Coffee Farm #0010,Central Highlands,Coffee,2.49,1.2499,5.04,2,Emerging Agribusiness,0.2,0.16,0.2,0.56,0.04,0.32,0.16,0.04,0.04,0.1572,0.05,0.2146,-1.3984,6.4384,0.637,2,High Risk
5e7613b7-6d52-5ee5-b693-89b41183d41d,Nandi Maize Farm #0011,Rift Valley,Maize,2.71,1.311,6.24,2,Emerging Agribusiness,0.28,0.44,0.28,0.4,0.16,0.24,0.2,0.08,0.08,0.1114,0.175,0.3046,-0.9767,7.2167,0.6584,2,High Risk
4c7de370-d11a-5439-b7f3-dc6cfad694db,Kakamega Sugarcane Farm #0012,Western Kenya,Sugarcane,33.31,3.5354,19.68,4,Investment Ready Farm,0.88,0.8,0.96,0.72,0.76,0.84,0.92,0.68,0.68,0.0917,0.4368,0.3229,3.1184,16.5616,0.2714,0,Low Risk
acfc4358-76b6-590c-a8ad-3204fd52c5ad,Kiambu Coffee Farm #0013,Central Highlands,Coffee,7.22,2.1066,12.96,3,Structured Farm,0.64,0.4,0.76,0.72,0.32,0.76,0.48,0.24,0.24,0.1939,0.05,0.2225,2.339,10.621,0.3743,2,High Risk
