farm_id,assessment_id,farm_name,region,county,crop_type,acreage,latitude,longitude,farmer_experience_years,is_coop_member,archetype,archetype_id,ffmi_score,tier,tier_classification,pillar_1_score,pillar_2_score,pillar_3_score,pillar_4_score,pillar_5_score,pillar_6_score,pillar_7_score,pillar_8_score,q_P1.1.1,q_P1.1.2,q_P1.1.3,q_P1.1.4,q_P1.1.5,q_P1.2.1,q_P1.2.2,q_P1.2.3,q_P1.2.4,q_P1.2.5,q_P1.3.1,q_P1.3.2,q_P1.3.3,q_P1.3.4,q_P1.3.5,q_P1.4.1,q_P1.4.2,q_P1.4.3,q_P1.4.4,q_P1.4.5,q_P1.5.1,q_P1.5.2,q_P1.5.3,q_P1.5.4,q_P1.5.5,q_P2.1.1,q_P2.1.2,q_P2.1.3,q_P2.1.4,q_P2.1.5,q_P2.2.1,q_P2.2.2,q_P2.2.3,q_P2.2.4,q_P2.2.5,q_P2.3.1,q_P2.3.2,q_P2.3.3,q_P2.3.4,q_P2.3.5,q_P2.4.1,q_P2.4.2,q_P2.4.3,q_P2.4.4,q_P2.4.5,q_P2.5.1,q_P2.5.2,q_P2.5.3,q_P2.5.4,q_P2.5.5,q_P3.1.1,q_P3.1.2,q_P3.1.3,q_P3.1.4,q_P3.1.5,q_P3.2.1,q_P3.2.2,q_P3.2.3,q_P3.2.4,q_P3.2.5,q_P3.3.1,q_P3.3.2,q_P3.3.3,q_P3.3.4,q_P3.3.5,q_P3.4.1,q_P3.4.2,q_P3.4.3,q_P3.4.4,q_P3.4.5,q_P3.5.1,q_P3.5.2,q_P3.5.3,q_P3.5.4,q_P3.5.5,q_P4.1.1,q_P4.1.2,q_P4.1.3,q_P4.1.4,q_P4.1.5,q_P4.2.1,q_P4.2.2,q_P4.2.3,q_P4.2.4,q_P4.2.5,q_P4.3.1,q_P4.3.2,q_P4.3.3,q_P4.3.4,q_P4.3.5,q_P4.4.1,q_P4.4.2,q_P4.4.3,q_P4.4.4,q_P4.4.5,q_P4.5.1,q_P4.5.2,q_P4.5.3,q_P4.5.4,q_P4.5.5,q_P5.1.1,q_P5.1.2,q_P5.1.3,q_P5.1.4,q_P5.1.5,q_P5.2.1,q_P5.2.2,q_P5.2.3,q_P5.2.4,q_P5.2.5,q_P5.3.1,q_P5.3.2,q_P5.3.3,q_P5.3.4,q_P5.3.5,q_P5.4.1,q_P5.4.2,q_P5.4.3,q_P5.4.4,q_P5.4.5,q_P5.5.1,q_P5.5.2,q_P5.5.3,q_P5.5.4,q_P5.5.5,q_P6.1.1,q_P6.1.2,q_P6.1.3,q_P6.1.4,q_P6.1.5,q_P6.2.1,q_P6.2.2,q_P6.2.3,q_P6.2.4,q_P6.2.5,q_P6.3.1,q_P6.3.2,q_P6.3.3,q_P6.3.4,q_P6.3.5,q_P6.4.1,q_P6.4.2,q_P6.4.3,q_P6.4.4,q_P6.4.5,q_P6.5.1,q_P6.5.2,q_P6.5.3,q_P6.5.4,q_P6.5.5,q_P7.1.1,q_P7.1.2,q_P7.1.3,q_P7.1.4,q_P7.1.5,q_P7.2.1,q_P7.2.2,q_P7.2.3,q_P7.2.4,q_P7.2.5,q_P7.3.1,q_P7.3.2,q_P7.3.3,q_P7.3.4,q_P7.3.5,q_P7.4.1,q_P7.4.2,q_P7.4.3,q_P7.4.4,q_P7.4.5,q_P7.5.1,q_P7.5.2,q_P7.5.3,q_P7.5.4,q_P7.5.5,q_P8.1.1,q_P8.1.2,q_P8.1.3,q_P8.1.4,q_P8.1.5,q_P8.2.1,q_P8.2.2,q_P8.2.3,q_P8.2.4,q_P8.2.5,q_P8.3.1,q_P8.3.2,q_P8.3.3,q_P8.3.4,q_P8.3.5,q_P8.4.1,q_P8.4.2,q_P8.4.3,q_P8.4.4,q_P8.4.5,q_P8.5.1,q_P8.5.2,q_P8.5.3,q_P8.5.4,q_P8.5.5
92b0517c-b047-5780-9959-ff1b7b61f471,871a1c9c-a75c-52fe-a33b-617d639da5de,Kilifi Coconut Farm #0001,Coastal Lowlands,Kilifi,Coconut,6.62,-4.203951,39.764566,13,False,Transitioning Agribusiness,1,13.32,3,Structured Farm,0.56,0.44,0.6,0.72,0.52,0.6,0.64,0.36,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
41c99529-6a7c-5946-83d6-9a68b7a2e328,b4dec551-8208-5453-912e-589bf3692782,Murang'a Macadamia Farm #0002,Central Highlands,Murang'a,Macadamia,2.17,-0.047159,37.254811,13,False,Informal Smallholder,0,4.92,5,Future Ready Farm,0.16,0.16,0.24,0.44,0.16,0.2,0.24,0.04,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6fd01488-9fa8-54cf-90f6-a1940173f1ad,fa1c0ec5-b016-5038-a16d-42f9a22cd25d,Tharaka Nithi Green Grams Farm #0003,Eastern Semi-Arid,Tharaka Nithi,Green Grams,27.16,-0.995008,38.380024,16,True,Commercial Market Leader,2,20.04,5,Future Ready Farm,0.76,0.84,0.88,0.76,0.8,0.96,0.88,0.8,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
469f0080-90a5-518a-8922-d9ba63976053,107e75c6-e4b7-57d5-bd71-43c365265f8b,Murang'a Coffee Farm #0004,Central Highlands,Murang'a,Coffee,2.99,-0.127525,37.651521,11,True,Transitioning Agribusiness,1,12.36,3,Structured Farm,0.52,0.56,0.6,0.6,0.36,0.48,0.6,0.4,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0
3f3edc20-bcb1-5687-8d69-a7cffeebb82e,afe97597-8da4-5f20-b50a-3c9b624d0652,Uasin Gishu Potatoes Farm #0005,Rift Valley,Uasin Gishu,Potatoes,3.89,0.87675,35.99687,7,False,Informal Smallholder,0,6.0,2,Emerging Agribusiness,0.04,0.4,0.12,0.6,0.2,0.28,0.16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
ead843ac-7cb8-523b-8d81-e9c3eddd4c7e,00deb09c-46c6-527b-af0e-805bf621206f,Lamu Coconut Farm #0006,Coastal Lowlands,Lamu,Coconut,27.33,-3.045774,39.383802,21,False,Commercial Market Leader,2,19.56,4,Investment Ready Farm,0.68,0.76,0.88,0.84,0.88,0.84,0.84,0.8,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1
7777540e-befc-5e18-83a6-83491da0993b,2037e8ce-2e4f-5a6b-8032-6ba251f292d3,Kiambu Horticulture Farm #0007,Central Highlands,Kiambu,Horticulture,3.72,-0.639887,37.262799,15,True,Transitioning Agribusiness,1,11.88,3,Structured Farm,0.32,0.36,0.48,0.8,0.52,0.52,0.6,0.36,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
280d3820-6aff-5deb-9de8-def150c2c841,f99db12b-8797-5bdd-b3ca-8301075b5950,Taita Taveta Fish Farming Farm #0008,Coastal Lowlands,Taita Taveta,Fish Farming,9.03,-3.394573,40.448884,15,False,Transitioning Agribusiness,1,12.96,3,Structured Farm,0.44,0.52,0.6,0.72,0.48,0.68,0.52,0.36,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
9b41820c-6c6b-5940-93fc-944e5b46c00d,38f4d602-dcd1-5876-9314-dab0bf28ee8c,Kakamega Horticulture Farm #0009,Western Kenya,Kakamega,Horticulture,1.19,0.185037,34.533803,1,False,Informal Smallholder,0,5.52,2,Emerging Agribusiness,0.24,0.12,0.32,0.44,0.16,0.28,0.16,0.12,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f75f7adb-8a86-55ca-8406-53ef006009bf,8e4b4844-84a1-56de-8c8b-9d471e77ba8d,Embu Coffee Farm #0010,Central Highlands,Embu,Coffee,2.49,-1.115493,37.015688,14,True,Informal Smallholder,0,5.04,2,Emerging Agribusiness,0.2,0.16,0.2,0.56,0.04,0.32,0.16,0.04,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
