farm_id,assessment_id,farm_name,region,county,crop_type,acreage,archetype,archetype_id,ffmi_score,tier,tier_classification,section_1_score,section_1_points,cap_P1.1_score,cap_P1.1_yes_count,cap_P1.1_level,cap_P1.1_status,cap_P1.2_score,cap_P1.2_yes_count,cap_P1.2_level,cap_P1.2_status,cap_P1.3_score,cap_P1.3_yes_count,cap_P1.3_level,cap_P1.3_status,cap_P1.4_score,cap_P1.4_yes_count,cap_P1.4_level,cap_P1.4_status,cap_P1.5_score,cap_P1.5_yes_count,cap_P1.5_level,cap_P1.5_status,section_1_strongest_cap,section_1_gap_cap,section_2_score,section_2_points,cap_P2.1_score,cap_P2.1_yes_count,cap_P2.1_level,cap_P2.1_status,cap_P2.2_score,cap_P2.2_yes_count,cap_P2.2_level,cap_P2.2_status,cap_P2.3_score,cap_P2.3_yes_count,cap_P2.3_level,cap_P2.3_status,cap_P2.4_score,cap_P2.4_yes_count,cap_P2.4_level,cap_P2.4_status,cap_P2.5_score,cap_P2.5_yes_count,cap_P2.5_level,cap_P2.5_status,section_2_strongest_cap,section_2_gap_cap,section_3_score,section_3_points,cap_P3.1_score,cap_P3.1_yes_count,cap_P3.1_level,cap_P3.1_status,cap_P3.2_score,cap_P3.2_yes_count,cap_P3.2_level,cap_P3.2_status,cap_P3.3_score,cap_P3.3_yes_count,cap_P3.3_level,cap_P3.3_status,cap_P3.4_score,cap_P3.4_yes_count,cap_P3.4_level,cap_P3.4_status,cap_P3.5_score,cap_P3.5_yes_count,cap_P3.5_level,cap_P3.5_status,section_3_strongest_cap,section_3_gap_cap,section_4_score,section_4_points,cap_P4.1_score,cap_P4.1_yes_count,cap_P4.1_level,cap_P4.1_status,cap_P4.2_score,cap_P4.2_yes_count,cap_P4.2_level,cap_P4.2_status,cap_P4.3_score,cap_P4.3_yes_count,cap_P4.3_level,cap_P4.3_status,cap_P4.4_score,cap_P4.4_yes_count,cap_P4.4_level,cap_P4.4_status,cap_P4.5_score,cap_P4.5_yes_count,cap_P4.5_level,cap_P4.5_status,section_4_strongest_cap,section_4_gap_cap,section_5_score,section_5_points,cap_P5.1_score,cap_P5.1_yes_count,cap_P5.1_level,cap_P5.1_status,cap_P5.2_score,cap_P5.2_yes_count,cap_P5.2_level,cap_P5.2_status,cap_P5.3_score,cap_P5.3_yes_count,cap_P5.3_level,cap_P5.3_status,cap_P5.4_score,cap_P5.4_yes_count,cap_P5.4_level,cap_P5.4_status,cap_P5.5_score,cap_P5.5_yes_count,cap_P5.5_level,cap_P5.5_status,section_5_strongest_cap,section_5_gap_cap,section_6_score,section_6_points,cap_P6.1_score,cap_P6.1_yes_count,cap_P6.1_level,cap_P6.1_status,cap_P6.2_score,cap_P6.2_yes_count,cap_P6.2_level,cap_P6.2_status,cap_P6.3_score,cap_P6.3_yes_count,cap_P6.3_level,cap_P6.3_status,cap_P6.4_score,cap_P6.4_yes_count,cap_P6.4_level,cap_P6.4_status,cap_P6.5_score,cap_P6.5_yes_count,cap_P6.5_level,cap_P6.5_status,section_6_strongest_cap,section_6_gap_cap,section_7_score,section_7_points,cap_P7.1_score,cap_P7.1_yes_count,cap_P7.1_level,cap_P7.1_status,cap_P7.2_score,cap_P7.2_yes_count,cap_P7.2_level,cap_P7.2_status,cap_P7.3_score,cap_P7.3_yes_count,cap_P7.3_level,cap_P7.3_status,cap_P7.4_score,cap_P7.4_yes_count,cap_P7.4_level,cap_P7.4_status,cap_P7.5_score,cap_P7.5_yes_count,cap_P7.5_level,cap_P7.5_status,section_7_strongest_cap,section_7_gap_cap,section_8_score,section_8_points,cap_P8.1_score,cap_P8.1_yes_count,cap_P8.1_level,cap_P8.1_status,cap_P8.2_score,cap_P8.2_yes_count,cap_P8.2_level,cap_P8.2_status,cap_P8.3_score,cap_P8.3_yes_count,cap_P8.3_level,cap_P8.3_status,cap_P8.4_score,cap_P8.4_yes_count,cap_P8.4_level,cap_P8.4_status,cap_P8.5_score,cap_P8.5_yes_count,cap_P8.5_level,cap_P8.5_status,section_8_strongest_cap,section_8_gap_cap
92b0517c-b047-5780-9959-ff1b7b61f471,871a1c9c-a75c-52fe-a33b-617d639da5de,Kilifi Coconut Farm #0001,Coastal Lowlands,Kilifi,Coconut,6.62,Transitioning Agribusiness,1,13.32,3,Structured Farm,0.56,1.68,0.4,2,2,basic,0.2,1,1,emerging,0.8,4,4,established,0.8,4,4,established,0.6,3,3,developing,P1.3,P1.2,0.44,1.32,0.6,3,3,developing,0.2,1,1,emerging,0.2,1,1,emerging,0.6,3,3,developing,0.6,3,3,developing,P2.1,P2.3,0.6,1.8,0.8,4,4,established,0.4,2,2,basic,0.6,3,3,developing,0.4,2,2,basic,0.8,4,4,established,P3.1,P3.4,0.72,2.16,0.4,2,2,basic,1.0,5,5,advanced,1.0,5,5,advanced,0.6,3,3,developing,0.6,3,3,developing,P4.2,P4.1,0.52,1.56,0.4,2,2,basic,0.4,2,2,basic,0.8,4,4,established,0.4,2,2,basic,0.6,3,3,developing,P5.3,P5.4,0.6,1.8,0.6,3,3,developing,0.6,3,3,developing,0.4,2,2,basic,0.8,4,4,established,0.6,3,3,developing,P6.4,P6.3,0.64,1.92,0.6,3,3,developing,0.8,4,4,established,0.4,2,2,basic,0.6,3,3,developing,0.8,4,4,established,P7.2,P7.3,0.36,1.08,0.6,3,3,developing,0.4,2,2,basic,0.6,3,3,developing,0.0,0,0,non_existent,0.2,1,1,emerging,P8.1,P8.4
41c99529-6a7c-5946-83d6-9a68b7a2e328,b4dec551-8208-5453-912e-589bf3692782,Murang'a Macadamia Farm #0002,Central Highlands,Murang'a,Macadamia,2.17,Informal Smallholder,0,4.92,5,Future Ready Farm,0.16,0.48,0.0,0,0,non_existent,0.2,1,1,emerging,0.4,2,2,basic,0.0,0,0,non_existent,0.2,1,1,emerging,P1.3,P1.4,0.16,0.48,0.2,1,1,emerging,0.2,1,1,emerging,0.2,1,1,emerging,0.0,0,0,non_existent,0.2,1,1,emerging,P2.1,P2.4,0.24,0.72,0.2,1,1,emerging,0.4,2,2,basic,0.0,0,0,non_existent,0.4,2,2,basic,0.2,1,1,emerging,P3.2,P3.3,0.44,1.32,0.6,3,3,developing,0.4,2,2,basic,0.4,2,2,basic,0.4,2,2,basic,0.4,2,2,basic,P4.1,P4.5,0.16,0.48,0.2,1,1,emerging,0.0,0,0,non_existent,0.0,0,0,non_existent,0.2,1,1,emerging,0.4,2,2,basic,P5.5,P5.3,0.2,0.6,0.2,1,1,emerging,0.2,1,1,emerging,0.2,1,1,emerging,0.4,2,2,basic,0.0,0,0,non_existent,P6.4,P6.5,0.24,0.72,0.2,1,1,emerging,0.0,0,0,non_existent,0.2,1,1,emerging,0.2,1,1,emerging,0.6,3,3,developing,P7.5,P7.2,0.04,0.12,0.0,0,0,non_existent,0.0,0,0,non_existent,0.0,0,0,non_existent,0.0,0,0,non_existent,0.2,1,1,emerging,P8.5,P8.4
6fd01488-9fa8-54cf-90f6-a1940173f1ad,fa1c0ec5-b016-5038-a16d-42f9a22cd25d,Tharaka Nithi Green Grams Farm #0003,Eastern Semi-Arid,Tharaka Nithi,Green Grams,27.16,Commercial Market Leader,2,20.04,5,Future Ready Farm,0.76,2.28,0.8,4,4,established,1.0,5,5,advanced,0.8,4,4,established,0.6,3,3,developing,0.6,3,3,developing,P1.2,P1.5,0.84,2.52,1.0,5,5,advanced,0.8,4,4,established,0.8,4,4,established,0.6,3,3,developing,1.0,5,5,advanced,P2.1,P2.4,0.88,2.64,1.0,5,5,advanced,0.8,4,4,established,0.8,4,4,established,0.8,4,4,established,1.0,5,5,advanced,P3.1,P3.4,0.76,2.28,0.6,3,3,developing,0.8,4,4,established,0.6,3,3,developing,1.0,5,5,advanced,0.8,4,4,established,P4.4,P4.3,0.8,2.4,0.8,4,4,established,0.8,4,4,established,0.6,3,3,developing,1.0,5,5,advanced,0.8,4,4,established,P5.4,P5.3,0.96,2.88,1.0,5,5,advanced,0.8,4,4,established,1.0,5,5,advanced,1.0,5,5,advanced,1.0,5,5,advanced,P6.1,P6.2,0.88,2.64,0.8,4,4,established,0.8,4,4,established,1.0,5,5,advanced,1.0,5,5,advanced,0.8,4,4,established,P7.3,P7.5,0.8,2.4,0.6,3,3,developing,0.6,3,3,developing,0.8,4,4,established,1.0,5,5,advanced,1.0,5,5,advanced,P8.4,P8.2
469f0080-90a5-518a-8922-d9ba63976053,107e75c6-e4b7-57d5-bd71-43c365265f8b,Murang'a Coffee Farm #0004,Central Highlands,Murang'a,Coffee,2.99,Transitioning Agribusiness,1,12.36,3,Structured Farm,0.52,1.56,0.8,4,4,established,0.2,1,1,emerging,0.6,3,3,developing,0.4,2,2,basic,0.6,3,3,developing,P1.1,P1.2,0.56,1.68,0.8,4,4,established,0.4,2,2,basic,0.6,3,3,developing,0.4,2,2,basic,0.6,3,3,developing,P2.1,P2.4,0.6,1.8,0.8,4,4,established,0.2,1,1,emerging,0.4,2,2,basic,0.8,4,4,established,0.8,4,4,established,P3.1,P3.2,0.6,1.8,0.8,4,4,established,0.8,4,4,established,0.4,2,2,basic,0.4,2,2,basic,0.6,3,3,developing,P4.1,P4.4,0.36,1.08,0.4,2,2,basic,0.4,2,2,basic,0.0,0,0,non_existent,0.4,2,2,basic,0.6,3,3,developing,P5.5,P5.3,0.48,1.44,0.4,2,2,basic,0.4,2,2,basic,0.6,3,3,developing,0.4,2,2,basic,0.6,3,3,developing,P6.3,P6.4,0.6,1.8,0.8,4,4,established,0.4,2,2,basic,0.6,3,3,developing,0.4,2,2,basic,0.8,4,4,established,P7.1,P7.4,0.4,1.2,0.0,0,0,non_existent,0.6,3,3,developing,0.2,1,1,emerging,0.6,3,3,developing,0.6,3,3,developing,P8.2,P8.1
3f3edc20-bcb1-5687-8d69-a7cffeebb82e,afe97597-8da4-5f20-b50a-3c9b624d0652,Uasin Gishu Potatoes Farm #0005,Rift Valley,Uasin Gishu,Potatoes,3.89,Informal Smallholder,0,6.0,2,Emerging Agribusiness,0.04,0.12,0.0,0,0,non_existent,0.0,0,0,non_existent,0.0,0,0,non_existent,0.2,1,1,emerging,0.0,0,0,non_existent,P1.4,P1.5,0.4,1.2,0.4,2,2,basic,0.4,2,2,basic,0.6,3,3,developing,0.4,2,2,basic,0.2,1,1,emerging,P2.3,P2.5,0.12,0.36,0.0,0,0,non_existent,0.4,2,2,basic,0.0,0,0,non_existent,0.2,1,1,emerging,0.0,0,0,non_existent,P3.2,P3.5,0.6,1.8,1.0,5,5,advanced,0.4,2,2,basic,0.2,1,1,emerging,0.6,3,3,developing,0.8,4,4,established,P4.1,P4.3,0.2,0.6,0.0,0,0,non_existent,0.0,0,0,non_existent,0.4,2,2,basic,0.2,1,1,emerging,0.4,2,2,basic,P5.3,P5.2,0.28,0.84,0.2,1,1,emerging,0.4,2,2,basic,0.0,0,0,non_existent,0.6,3,3,developing,0.2,1,1,emerging,P6.4,P6.3,0.16,0.48,0.2,1,1,emerging,0.2,1,1,emerging,0.0,0,0,non_existent,0.0,0,0,non_existent,0.4,2,2,basic,P7.5,P7.4,0.2,0.6,0.2,1,1,emerging,0.2,1,1,emerging,0.2,1,1,emerging,0.2,1,1,emerging,0.2,1,1,emerging,P8.1,P8.5
ead843ac-7cb8-523b-8d81-e9c3eddd4c7e,00deb09c-46c6-527b-af0e-805bf621206f,Lamu Coconut Farm #0006,Coastal Lowlands,Lamu,Coconut,27.33,Commercial Market Leader,2,19.56,4,Investment Ready Farm,0.68,2.04,0.6,3,3,developing,0.6,3,3,developing,0.6,3,3,developing,0.6,3,3,developing,1.0,5,5,advanced,P1.5,P1.4,0.76,2.28,1.0,5,5,advanced,0.8,4,4,established,0.4,2,2,basic,1.0,5,5,advanced,0.6,3,3,developing,P2.1,P2.3,0.88,2.64,0.6,3,3,developing,1.0,5,5,advanced,1.0,5,5,advanced,0.8,4,4,established,1.0,5,5,advanced,P3.2,P3.1,0.84,2.52,0.8,4,4,established,1.0,5,5,advanced,0.8,4,4,established,0.8,4,4,established,0.8,4,4,established,P4.2,P4.5,0.88,2.64,0.8,4,4,established,1.0,5,5,advanced,0.8,4,4,established,0.8,4,4,established,1.0,5,5,advanced,P5.2,P5.4,0.84,2.52,0.6,3,3,developing,0.8,4,4,established,1.0,5,5,advanced,1.0,5,5,advanced,0.8,4,4,established,P6.3,P6.1,0.84,2.52,0.8,4,4,established,0.8,4,4,established,0.8,4,4,established,1.0,5,5,advanced,0.8,4,4,established,P7.4,P7.5,0.8,2.4,0.8,4,4,established,1.0,5,5,advanced,0.8,4,4,established,0.6,3,3,developing,0.8,4,4,established,P8.2,P8.4
7777540e-befc-5e18-83a6-83491da0993b,2037e8ce-2e4f-5a6b-8032-6ba251f292d3,Kiambu Horticulture Farm #0007,Central Highlands,Kiambu,Horticulture,3.72,Transitioning Agribusiness,1,11.88,3,Structured Farm,0.32,0.96,0.2,1,1,emerging,0.4,2,2,basic,0.4,2,2,basic,0.0,0,0,non_existent,0.6,3,3,developing,P1.5,P1.4,0.36,1.08,0.6,3,3,developing,0.4,2,2,basic,0.4,2,2,basic,0.0,0,0,non_existent,0.4,2,2,basic,P2.1,P2.4,0.48,1.44,0.4,2,2,basic,0.4,2,2,basic,0.6,3,3,developing,0.6,3,3,developing,0.4,2,2,basic,P3.3,P3.5,0.8,2.4,0.6,3,3,developing,1.0,5,5,advanced,1.0,5,5,advanced,0.6,3,3,developing,0.8,4,4,established,P4.2,P4.4,0.52,1.56,0.6,3,3,developing,0.8,4,4,established,0.4,2,2,basic,0.2,1,1,emerging,0.6,3,3,developing,P5.2,P5.4,0.52,1.56,0.2,1,1,emerging,0.6,3,3,developing,0.8,4,4,established,0.6,3,3,developing,0.4,2,2,basic,P6.3,P6.1,0.6,1.8,0.4,2,2,basic,0.4,2,2,basic,0.6,3,3,developing,0.8,4,4,established,0.8,4,4,established,P7.4,P7.2,0.36,1.08,0.6,3,3,developing,0.4,2,2,basic,0.2,1,1,emerging,0.0,0,0,non_existent,0.6,3,3,developing,P8.1,P8.4
280d3820-6aff-5deb-9de8-def150c2c841,f99db12b-8797-5bdd-b3ca-8301075b5950,Taita Taveta Fish Farming Farm #0008,Coastal Lowlands,Taita Taveta,Fish Farming,9.03,Transitioning Agribusiness,1,12.96,3,Structured Farm,0.44,1.32,0.2,1,1,emerging,0.4,2,2,basic,0.4,2,2,basic,0.8,4,4,established,0.4,2,2,basic,P1.4,P1.1,0.52,1.56,0.8,4,4,established,0.4,2,2,basic,0.4,2,2,basic,0.6,3,3,developing,0.4,2,2,basic,P2.1,P2.5,0.6,1.8,0.6,3,3,developing,0.4,2,2,basic,0.6,3,3,developing,0.6,3,3,developing,0.8,4,4,established,P3.5,P3.2,0.72,2.16,1.0,5,5,advanced,0.6,3,3,developing,0.6,3,3,developing,0.8,4,4,established,0.6,3,3,developing,P4.1,P4.5,0.48,1.44,0.6,3,3,developing,0.4,2,2,basic,0.4,2,2,basic,0.6,3,3,developing,0.4,2,2,basic,P5.1,P5.5,0.68,2.04,0.6,3,3,developing,0.8,4,4,established,0.8,4,4,established,0.6,3,3,developing,0.6,3,3,developing,P6.2,P6.5,0.52,1.56,0.6,3,3,developing,0.2,1,1,emerging,0.8,4,4,established,0.6,3,3,developing,0.4,2,2,basic,P7.3,P7.2,0.36,1.08,0.4,2,2,basic,0.4,2,2,basic,0.0,0,0,non_existent,0.2,1,1,emerging,0.8,4,4,established,P8.5,P8.3
9b41820c-6c6b-5940-93fc-944e5b46c00d,38f4d602-dcd1-5876-9314-dab0bf28ee8c,Kakamega Horticulture Farm #0009,Western Kenya,Kakamega,Horticulture,1.19,Informal Smallholder,0,5.52,2,Emerging Agribusiness,0.24,0.72,0.2,1,1,emerging,0.2,1,1,emerging,0.2,1,1,emerging,0.4,2,2,basic,0.2,1,1,emerging,P1.4,P1.5,0.12,0.36,0.4,2,2,basic,0.0,0,0,non_existent,0.0,0,0,non_existent,0.2,1,1,emerging,0.0,0,0,non_existent,P2.1,P2.5,0.32,0.96,0.2,1,1,emerging,0.4,2,2,basic,0.4,2,2,basic,0.4,2,2,basic,0.2,1,1,emerging,P3.2,P3.5,0.44,1.32,0.4,2,2,basic,0.4,2,2,basic,0.4,2,2,basic,0.6,3,3,developing,0.4,2,2,basic,P4.4,P4.5,0.16,0.48,0.0,0,0,non_existent,0.4,2,2,basic,0.0,0,0,non_existent,0.4,2,2,basic,0.0,0,0,non_existent,P5.2,P5.5,0.28,0.84,0.0,0,0,non_existent,0.2,1,1,emerging,0.8,4,4,established,0.0,0,0,non_existent,0.4,2,2,basic,P6.3,P6.4,0.16,0.48,0.0,0,0,non_existent,0.0,0,0,non_existent,0.0,0,0,non_existent,0.6,3,3,developing,0.2,1,1,emerging,P7.4,P7.3,0.12,0.36,0.2,1,1,emerging,0.2,1,1,emerging,0.2,1,1,emerging,0.0,0,0,non_existent,0.0,0,0,non_existent,P8.1,P8.5
f75f7adb-8a86-55ca-8406-53ef006009bf,8e4b4844-84a1-56de-8c8b-9d471e77ba8d,Embu Coffee Farm #0010,Central Highlands,Embu,Coffee,2.49,Informal Smallholder,0,5.04,2,Emerging Agribusiness,0.2,0.6,0.2,1,1,emerging,0.0,0,0,non_existent,0.4,2,2,basic,0.4,2,2,basic,0.0,0,0,non_existent,P1.3,P1.5,0.16,0.48,0.0,0,0,non_existent,0.4,2,2,basic,0.2,1,1,emerging,0.2,1,1,emerging,0.0,0,0,non_existent,P2.2,P2.5,0.2,0.6,0.2,1,1,emerging,0.0,0,0,non_existent,0.2,1,1,emerging,0.4,2,2,basic,0.2,1,1,emerging,P3.4,P3.2,0.56,1.68,0.6,3,3,developing,0.6,3,3,developing,0.4,2,2,basic,0.6,3,3,developing,0.6,3,3,developing,P4.1,P4.3,0.04,0.12,0.0,0,0,non_existent,0.0,0,0,non_existent,0.0,0,0,non_existent,0.0,0,0,non_existent,0.2,1,1,emerging,P5.5,P5.4,0.32,0.96,0.6,3,3,developing,0.2,1,1,emerging,0.4,2,2,basic,0.2,1,1,emerging,0.2,1,1,emerging,P6.1,P6.5,0.16,0.48,0.2,1,1,emerging,0.2,1,1,emerging,0.0,0,0,non_existent,0.4,2,2,basic,0.0,0,0,non_existent,P7.4,P7.5,0.04,0.12,0.0,0,0,non_existent,0.0,0,0,non_existent,0.0,0,0,non_existent,0.2,1,1,emerging,0.0,0,0,non_existent,P8.4,P8.5
